Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations
Cough,खांसी,खोकला,"Sore throat, chest congestion","Chest X-ray, Blood tests, Sputum analysis",Mild to Moderate,1-2 weeks,"Asthma, Respiratory Issues","Cough syrup, Inhalers","Viral infections, Smoking","Dry, Cold Air, Dusty Air",Irregular Sleep,High Stress,Low,"Asthma, Respiratory issues","Spicy, Oily Foods","Dust, Pollen","Winter, Rainy",All ages,All genders,"Desk Job, Low physical activity",Varies by region,"Ginger, Honey","Tulsi, Ashwagandha","Ginger (2g), Honey (1 tsp)","Vata, Kapha",Vata-Kapha,"Avoid cold foods; stay hydrated; consume warm liquids.","Anulom Vilom, Pranayama","Cough syrup, Antibiotics","Avoid irritants",Usually mild,"Bronchitis, Pneumonia","Stay hydrated, rest"
Diabetes,मधुमेह,मधुमेह,"Frequent urination, fatigue","Blood sugar test, HbA1c test",Moderate to High,Lifetime management,Family history of diabetes,"Insulin, Metformin","Obesity, Genetics, Age > 40","High Sugar, Sedentary Life",Poor Sleep,High Stress,Low,Family History of Diabetes,"High sugar, Low fiber","Gluten, Dairy",All seasons,30-60 years,Both genders,"Sedentary job, Low exercise",Avoids certain foods,"Cinnamon, Bitter melon","Jamun, Gudmar","Fenugreek (3g daily)","Pitta, Kapha",Kapha,"Avoid sugary foods; focus on low-GI foods; regular exercise.","Surya Namaskar, Pranayama","Insulin, Oral meds",Regular exercise,"Chronic, manageable","Retinopathy, Kidney disease","Healthy diet, exercise"
Hypertension,उच्च रक्तचाप,उच्च रक्तदाब,"High blood pressure, stress",Blood pressure measurement,High,Lifetime management,"Heart disease, Stroke","Beta-blockers, Diuretics","Family history, Obesity, Age","Hot weather, Salt intake",Poor Sleep,High Stress,Moderate,Family History of Hypertension,"Low Salt, Low Fat",None,Hot Weather,40-70 years,Both genders,"Desk Job, High stress","Low-fat, Low-sodium preferences","Garlic, Hibiscus tea","Ashwagandha, Arjuna","Ashwagandha (5g daily)","Pitta, Vata",Pitta,"Reduce salt; practice yoga and meditation; avoid spicy foods.","Surya Namaskar, Meditation",Antihypertensive meds,Salt restriction,Chronic,"Heart failure, Stroke","Limit salt, exercise"
Migraine,माइग्रेन,डोकेदुखी,"Severe headache, nausea","CT scan, MRI, Neurological exam",Moderate to Severe,3-4 days for relief,Family history of migraines,Pain relievers (NSAIDs),"Stress, Hormonal changes","Bright lights, Loud sounds",Irregular Sleep,High Stress,Moderate,Family History of Migraines,"Spicy, Caffeinated foods",None,All seasons,20-50 years,Mostly Female,"High screen time, Low activity",Avoids strong smells,"Peppermint, Lavender oil","Brahmi, Jatamansi","Peppermint (2 drops in water)","Pitta, Vata",Pitta-Vata,"Maintain regular meal times; avoid bright lights; stay hydrated.","Anulom Vilom, Pranayama","Pain relievers, Botox",Stress management,Variable,"Stroke, Anxiety, Depression","Sleep, avoid triggers"
Arthritis,गठिया,आर्थरायटिस,"Joint pain, swelling","X-ray, MRI, Blood tests (RA factor)",Moderate to Severe,Variable,"Joint pain, Obesity",Pain relievers (NSAIDs),"Age, Joint overuse, Genetics","Cold, Damp weather",Poor Sleep,Moderate Stress,Low,Family History of Arthritis,"Low-fat, Low-carb","Pollen, Dust","Winter, Rainy",40+ years,Both genders,"Sedentary lifestyle, Office job","Avoids cold, prefers warm places","Turmeric, Ginger","Ashwagandha, Guggul","Turmeric (1/2 tsp), Milk (200ml)","Vata, Kapha",Vata,"Consume anti-inflammatory foods; stay active; avoid cold exposure.","Yoga for flexibility, Strength","NSAIDs, Steroids",Weight management,Chronic,"Joint deformity, Mobility issues","Exercise, joint care"
Common Cold,सामान्य सर्दी,सामान्य सर्दी,"Runny nose, sneezing, mild fever","Physical exam, Throat culture",Mild to Moderate,7-10 days,None,"Antihistamines, Decongestants","Viral infections, Immune weakness","Cold Air, Viral Infection",Irregular Sleep,Moderate Stress,Low,None,Balanced diet,"Dust, Pollen","Winter, Monsoon",All ages,All genders,"Office job, Low activity",Avoids cold foods,"Echinacea, Ginger tea","Tulsi, Ginger","Tulsi leaves (5), Ginger (1g)","Kapha, Vata",Kapha,"Rest well; consume warm foods; avoid dairy temporarily.","Pranayama, Anulom Vilom","Decongestants, Rest","Good hygiene, Rest",Usually mild,Secondary infections,"Hydration, rest"
Indigestion,पाचन की समस्या,पचन समस्या,"Bloating, abdominal discomfort","Endoscopy, Blood tests",Mild to Moderate,1-3 days,"Poor diet, Stress","Antacids, Probiotics","Overeating, Stress","Overeating, Spicy foods",Poor Sleep,High Stress,Moderate,Family history of digestive issues,"Spicy, Oily foods","Dairy, Gluten","Winter, Monsoon",All ages,All genders,"Sedentary job, High stress",Varies, often vegetarian,"Peppermint, Fennel","Triphala, Ajwain","Ajwain seeds (1 tsp), Water (200ml)","Vata, Pitta",Vata-Pitta,"Avoid processed foods; eat smaller meals; stay active.","Pranayama, Yogasanas","Antacids, PPIs","Eat small meals, Avoid triggers",Usually mild,"Acid reflux, GERD","Avoid heavy meals, stress"
Asthma,दमा,श्वसन रोग,"Wheezing, shortness of breath","Pulmonary function tests, Chest X-ray",Moderate to Severe,Lifelong management,"Allergies, Respiratory Issues","Inhalers, Steroids","Family history, Allergies, Air pollution","Dust, Pollution",Irregular Sleep,High Stress,Low,Family History of Asthma,"Low-fat, High-protein","Pollen, Dust","Winter, Rainy",Any age,Both genders,"Sedentary lifestyle, Low activity","Avoids cold, prefers warm places","Ginger, Eucalyptus oil","Ashwagandha, Tulsi","Mulethi (1/2 tsp), Honey (1 tsp)","Kapha, Vata",Kapha,"Avoid cold and dusty environments; practice breathing exercises.","Pranayama, Kapalbhati","Inhalers, Steroids",Avoid allergens,Chronic,"Asthma attacks, Lung infections","Avoid triggers, use inhaler"
Constipation,कब्ज,बधाम,"Hard stools, infrequent bowel movement","Physical exam, Colonoscopy, X-ray",Mild to Moderate,2-3 days,"Poor diet, Lack of exercise","Laxatives, Fiber","Low fiber diet, Dehydration","Low water intake, Stress",Irregular Sleep,High Stress,Low to Moderate,Family History of Constipation,"High fiber, Low-fat","Dairy, Processed foods",All seasons,All ages,Both genders,"Office job, Low physical activity","Vegetarian, high fiber intake","Triphala, Aloe Vera","Triphala, Isabgol","Triphala (1 tsp), Warm water (200ml)",Vata,Vata,"Increase fiber intake; stay hydrated; practice regular bowel routines.","Paschimottanasana, Pranayama","Laxatives, Fiber supplements","Drink water, fiber-rich foods",Usually mild,"Hemorrhoids, Fecal impaction",Increase fiber intake
Insomnia,अनिद्रा,अनिद्रा,"Difficulty sleeping, restlessness","Sleep study, Blood tests, Questionnaire",Moderate to Severe,"Variable, up to 4 weeks","Anxiety, Depression, Stress","Sleep aids, Melatonin","Stress, Anxiety, Irregular sleep","Noise, Bright light, Caffeine",Poor Sleep,High Stress,Low,Family history of Insomnia,"Caffeine, Spicy foods",None,All seasons,All ages,Both genders,"Office job, High stress",Avoids screen time late,"Valerian root, Chamomile","Ashwagandha, Jatamansi","Brahmi (1 tsp), Warm milk (200ml)","Vata, Pitta",Vata-Pitta,"Establish a sleep routine; avoid caffeine; practice meditation.","Anulom Vilom, Yoga Nidra","Sleep aids, CBT therapy","Sleep routine, Relaxation",Chronic if untreated,"Anxiety, Depression","Sleep hygiene, relax"
